"# Sensor Luktvassvegen, Mosjøen - Mussere, Norway (Citizen Science project sensor.community/82574)"
# https://aqicn.org/station/@411634/
# Daily pm25
"date,min,max,median,q1,q3,stdev,count"
"2024-06-13T00:00:00.000Z,1.12,3.38,1.73,1.5,1.9,0.295,589"
"2024-06-14T00:00:00.000Z,0.8,4.72,1.55,1.3,1.83,0.428,585"
"2024-06-15T00:00:00.000Z,1,8.5,1.42,1.3,1.9,0.539,517"
"2024-06-16T00:00:00.000Z,1.1,4.63,1.58,1.42,1.83,0.31,586"
"2024-06-17T00:00:00.000Z,1.2,8.44,1.83,1.6,2.22,0.59,580"
"2024-06-18T00:00:00.000Z,0.88,11.9,2.25,1.95,2.75,1.192,587"
"2024-06-19T00:00:00.000Z,0.5,5,1.7,1.38,2.5,0.903,586"
"2024-06-20T00:00:00.000Z,0,18.64,1.05,0.52,1.5,0.932,584"
"2024-06-21T00:00:00.000Z,0.52,4.95,2.1,1.5,2.65,0.845,583"
"2024-06-22T00:00:00.000Z,1.1,4.78,1.67,1.5,2.13,0.605,577"
"2024-06-23T00:00:00.000Z,0.73,4.7,1.98,1.6,2.33,0.551,582"
"2024-06-24T00:00:00.000Z,0.15,727.15,1.65,1.05,2.17,30.21,581"
"2024-06-25T00:00:00.000Z,0.2,4.25,1.75,1.3,2.35,0.782,589"
"2024-06-26T00:00:00.000Z,0.4,3.22,1.2,1.05,1.48,0.371,559"
"2024-06-27T00:00:00.000Z,1.3,24.2,2.02,1.7,3.71,1.485,588"
"2024-06-28T00:00:00.000Z,2.54,12.13,4.59,3.53,5.57,1.876,591"
"2024-06-29T00:00:00.000Z,0,21.17,1.77,0.49,11.75,5.567,593"
"2024-06-30T00:00:00.000Z,0.7,2.8,1.25,1.1,1.6,0.391,589"
"2024-07-01T00:00:00.000Z,0.5,2.4,1.12,1,1.33,0.284,572"
"2024-07-02T00:00:00.000Z,0.85,9.98,1.63,1.4,2.38,0.893,587"
"2024-07-03T00:00:00.000Z,0.5,9.48,2.4,1.9,3.35,1.006,587"
"2024-07-04T00:00:00.000Z,0.6,39.08,1.6,1.2,2.09,1.661,588"
"2024-07-05T00:00:00.000Z,0.52,10.68,1.2,1,1.4,0.622,577"
"2024-07-06T00:00:00.000Z,0.22,3.22,0.98,0.8,1.23,0.409,578"
"2024-07-07T00:00:00.000Z,0.5,6.55,1.45,1.2,1.8,0.654,587"
"2024-07-08T00:00:00.000Z,0.2,4.18,1.23,0.9,2.1,0.737,587"
"2024-07-09T00:00:00.000Z,0.65,7.7,1.73,1.5,2.2,0.597,581"
